,Codigo_Aviso,Valor_UF
0,5592922,4788.91
1,6031175,15300.0
2,3995128,5513.55
3,6503735,3465.66
4,6600605,4253.31
5,6598325,4250.0
6,6720221,3056.08
7,6071448,4190.3
8,6638667,3308.13
9,6033126,1890.36
10,5676395,12287.0
11,6712357,15480.0
12,6715569,2200.0
13,6176022,4625.0
14,6722161,19800.0
15,6028407,28000.0
16,6176889,4725.9
17,6724521,45000.0
18,5857769,17643.35
19,3725140,29900.0
20,6772634,5045.0
21,6707447,27000.0
22,6420408,10480.0
23,6424273,3465.66
24,6627452,2205.42
25,5767202,18700.0
26,5933236,4095.78
27,6707771,7200.0
28,6105617,11000.0
29,6501607,2457.47
30,4973735,6931.32
31,5897163,5800.0
32,6620249,2362.95
33,6426325,7000.0
34,6328970,10800.0
35,6440629,11750.0
36,6797712,4095.78
37,5260810,11790.0
38,5813458,17000.0
39,3507346,38000.0
40,3988745,9900.0
41,5899618,18700.0
42,6425368,2678.01
43,6702919,24900.0
44,6797686,3245.12
45,5900349,4725.9
46,6426517,4883.43
47,5803436,6300.0
48,5311878,7718.97
49,6459064,32600.0
50,6689153,1600.0
51,6604189,2900.0
52,6512394,1827.35
53,6456667,3465.66
54,6728941,8200.0
55,6400375,18000.0
56,6452882,3600.0
57,6618228,3780.72
58,6838017,23000.0
59,5902147,2236.93
60,6797635,0.18
61,6819664,1984.88
62,6729279,32390.0
63,6623708,9136.74
64,5842377,6850.0
65,6614821,4662.89
66,4084549,4568.37
67,6710587,2268.43
68,6719259,2362.95
69,6600519,3334.0
70,6509667,2520.48
71,5559749,4347.83
72,5634813,14500.0
73,6351981,9485.0
74,5907606,2646.5
75,6715597,4810.0
76,6719449,12890.0
77,5825990,2800.0
78,6618230,1575.3
79,5714295,16993.0
80,5811333,7876.5
81,4911290,3780.72
82,6415539,9150.0
83,6256754,33500.0
84,6797559,6931.32
85,6518105,3119.09
86,2672835,4253.31
87,5973194,20163.83
88,6607821,4095.78
89,6265360,10500.0
90,6828968,4100.0
91,6599873,29615.63
92,5896803,34000.0
93,6071840,8199.0
94,5484965,7990.0
95,6028173,2205.42
96,6515754,5750.0
97,6398346,9900.0
98,6797785,5356.02
99,6519248,16800.0
100,4702081,17840.0
101,4573014,2804.03
102,6426499,9451.8
103,6361260,31800.0
104,6594454,5828.61
105,6285221,2583.49
106,6790090,4410.84
107,5896871,6700.0
108,6713736,2741.02
109,6819119,3150.0
110,6834560,3087.59
111,6626102,2362.95
112,6594013,2400.0
113,6725201,5198.49
114,6789949,4347.83
115,6186893,29700.0
116,6791067,4725.9
117,5172676,11499.68
118,6724223,6100.0
119,6558073,4890.0
120,6457718,5513.55
121,6830894,4410.84
122,6666775,4600.0
123,6714362,2205.42
124,6790850,4725.9
125,6342739,10081.92
126,6618683,9924.39
127,6624576,5198.49
128,5043539,2110.9
129,5111303,2110.9
130,6666772,4600.0
131,5874058,3938.25
132,6790560,4568.37
133,5696675,3686.2
134,6039397,3780.72
135,6623397,4725.9
136,4002547,28000.0
137,6508640,7561.44
138,3589486,2615.0
139,6556782,15000.0
140,6144441,23500.0
141,6555370,9000.0
142,6560088,2425.96
143,5781571,2520.48
144,4655401,13870.0
145,6412876,14300.0
146,6789118,1890.36
147,3155120,15500.0
148,6208548,2678.01
149,5268551,4883.43
150,6618780,1827.35
151,6838250,7876.5
152,4908368,14000.0
153,6622934,5639.57
154,6792918,2993.07
155,6711466,1800.0
156,6434223,3150.6
157,6265338,12995.0
158,6726667,14500.0
159,6033099,2425.96
160,6567304,4820.42
161,3992546,24574.67
162,6818900,4568.37
163,6710614,4830.0
164,6789800,3623.19
165,6818929,8506.62
166,5822312,2362.95
167,3994285,20000.0
168,5884120,1638.31
169,5828023,4064.27
170,6316675,125000000.0
171,6602122,3686.2
172,6789666,2835.54
173,6116973,2205.42
174,6187345,28500.0
175,6624110,2835.22
176,6171409,2583.49
177,6615595,27000.0
178,6316543,11027.1
179,6060921,16800.0
180,5939442,7990.0
181,6601436,4725.9
182,6285209,3119.09
183,6196944,3087.59
184,6558925,6400.0
185,6506152,3827.0
186,6813236,4371.0
187,6603798,11000.0
188,4899344,6460.0
189,5819366,22500.0
