,Codigo_Aviso,Valor_CLP
0,5592922,152000000.0
1,6031175,485622000.0
2,3995128,175000000.0
3,6503735,110000000.0
4,6600605,135000000.0
5,6598325,134895000.0
6,6720221,97000000.0
7,6071448,133000000.0
8,6638667,105000000.0
9,6033126,60000000.0
10,5676395,389989380.0
11,6712357,491335200.0
12,6715569,69828000.0
13,6176022,146797500.0
14,6722161,628452000.0
15,6028407,888720000.0
16,6176889,150000000.0
17,6724521,1428300000.0
18,5857769,560000000.0
19,3725140,949026000.0
20,6772634,160128300.0
21,6707447,856980000.0
22,6420408,332635200.0
23,6424273,110000000.0
24,6627452,70000000.0
25,5767202,593538000.0
26,5933236,130000000.0
27,6707771,228528000.0
28,6105617,349140000.0
29,6501607,78000000.0
30,4973735,220000000.0
31,5897163,184092000.0
32,6620249,75000000.0
33,6426325,222180000.0
34,6328970,342792000.0
35,6440629,372945000.0
36,6797712,130000000.0
37,5260810,374214600.0
38,5813458,539580000.0
39,3507346,1206120000.0
40,3988745,314226000.0
41,5899618,593538000.0
42,6425368,85000000.0
43,6702919,790326000.0
44,6797686,103000000.0
45,5900349,150000000.0
46,6426517,155000000.0
47,5803436,199962000.0
48,5311878,245000000.0
49,6459064,1034724000.0
50,6689153,50784000.0
51,6604189,92046000.0
52,6512394,58000000.0
53,6456667,110000000.0
54,6728941,260268000.0
55,6400375,571320000.0
56,6452882,114264000.0
57,6618228,120000000.0
58,6838017,730020000.0
59,5902147,71000000.0
60,6797635,5800.0
61,6819664,63000000.0
62,6729279,1028058600.0
63,6623708,290000000.0
64,5842377,217419000.0
65,6614821,148000000.0
66,4084549,145000000.0
67,6710587,71999990.0
68,6719259,75000000.0
69,6600519,105821160.0
70,6509667,80000000.0
71,5559749,138000000.0
72,5634813,460230000.0
73,6351981,301053900.0
74,5907606,84000000.0
75,6715597,152669400.0
76,6719449,409128600.0
77,5825990,88872000.0
78,6618230,50000000.0
79,5714295,539357820.0
80,5811333,250000000.0
81,4911290,120000000.0
82,6415539,290421000.0
83,6256754,1063290000.0
84,6797559,220000000.0
85,6518105,99000000.0
86,2672835,135000000.0
87,5973194,640000000.0
88,6607821,130000000.0
89,6265360,333270000.0
90,6828968,130134000.0
91,6599873,940000000.0
92,5896803,1079160000.0
93,6071840,260236260.0
94,5484965,253602600.0
95,6028173,70000000.0
96,6515754,182505000.0
97,6398346,314226000.0
98,6797785,170000000.0
99,6519248,533232000.0
100,4702081,566241600.0
101,4573014,89000000.0
102,6426499,300000000.0
103,6361260,1009332000.0
104,6594454,185000000.0
105,6285221,82000000.0
106,6790090,140000000.0
107,5896871,212658000.0
108,6713736,87000000.0
109,6819119,99981000.0
110,6834560,98000000.0
111,6626102,75000000.0
112,6594013,76176000.0
113,6725201,165000000.0
114,6789949,138000000.0
115,6186893,942678000.0
116,6791067,150000000.0
117,5172676,365000000.0
118,6724223,193614000.0
119,6558073,155208600.0
120,6457718,175000000.0
121,6830894,140000000.0
122,6666775,146004000.0
123,6714362,70000000.0
124,6790850,150000000.0
125,6342739,320000000.0
126,6618683,315000000.0
127,6624576,165000000.0
128,5043539,67000000.0
129,5111303,67000000.0
130,6666772,146004000.0
131,5874058,125000000.0
132,6790560,145000000.0
133,5696675,117000000.0
134,6039397,120000000.0
135,6623397,150000000.0
136,4002547,888720000.0
137,6508640,240000000.0
138,3589486,83000000.0
139,6556782,476100000.0
140,6144441,745890000.0
141,6555370,285660000.0
142,6560088,77000000.0
143,5781571,80000000.0
144,4655401,440233800.0
145,6412876,453882000.0
146,6789118,60000000.0
147,3155120,491970000.0
148,6208548,85000000.0
149,5268551,155000000.0
150,6618780,58000000.0
151,6838250,250000000.0
152,4908368,444360000.0
153,6622934,179000000.0
154,6792918,95000000.0
155,6711466,57132000.0
156,6434223,100000000.0
157,6265338,412461300.0
158,6726667,460230000.0
159,6033099,77000000.0
160,6567304,153000000.0
161,3992546,780000000.0
162,6818900,145000000.0
163,6710614,153304200.0
164,6789800,115000000.0
165,6818929,270000000.0
166,5822312,75000000.0
167,3994285,634800000.0
168,5884120,52000000.0
169,5828023,129000000.0
170,6316675,3967500000000.0
171,6602122,117000000.0
172,6789666,90000000.0
173,6116973,70000000.0
174,6187345,904590000.0
175,6624110,89990000.0
176,6171409,82000000.0
177,6615595,856980000.0
178,6316543,350000000.0
179,6060921,533232000.0
180,5939442,253602600.0
181,6601436,150000000.0
182,6285209,99000000.0
183,6196944,98000000.0
184,6558925,203136000.0
185,6506152,121468980.0
186,6813236,138735540.0
187,6603798,349140000.0
188,4899344,205040400.0
189,5819366,714150000.0
190,4933138,222180000.0
191,6433887,466578000.0
192,6028952,140000000.0
193,6726763,469752000.0
194,5635327,87000000.0
195,6038886,290000000.0
196,5644628,85000000.0
197,6710624,110201280.0
198,5382474,234558600.0
199,6426537,491652600.0
200,6215542,128000000.0
201,6720286,140000000.0
202,3776733,139000000.0
203,6603859,307560600.0
204,6519938,85000000.0
205,6701030,155526000.0
206,5827842,299000000.0
207,6275409,380880000.0
208,6472606,125000000.0
209,6351678,618930000.0
210,6413962,333270000.0
211,6500983,480000000.0
212,6615140,100000000.0
213,6360607,228528000.0
214,6088760,78000000.0
215,6382632,380880000.0
216,6188570,85000000.0
217,6615188,161874000.0
218,6733893,55000000.0
219,6599867,802000000.0
220,6356091,825240000.0
221,5584774,130000000.0
222,6347291,904590000.0
223,6277615,710658600.0
224,6505448,165000000.0
225,6722349,157430400.0
226,6112257,170000000.0
227,6712473,293595000.0
228,4708360,698280000.0
229,5853741,72990000.0
230,6447872,983940000.0
231,5563803,101568000.0
232,6505395,355000000.0
233,6508726,558624000.0
234,5940868,399606600.0
235,6465462,185000000.0
236,6113389,178000000.0
237,5718460,234990000.0
238,6356312,245985000.0
239,6430469,412620000.0
240,6504587,290421000.0
241,6513258,98500000.0
242,6024178,193614000.0
243,6603872,368184000.0
244,6825129,180981480.0
245,6818808,12000.0
246,5237736,157000000.0
247,5343678,441186000.0
248,6118072,159000000.0
